ID,Timestamp,Sales_Count,Redemption_Count
1,01-01-2024 00:00,16,18
2,01-01-2024 00:15,13,16
3,01-01-2024 00:30,17,14
4,01-01-2024 00:45,11,13
5,01-01-2024 01:00,19,13
6,01-01-2024 01:15,21,13
7,01-01-2024 01:30,9,11
8,01-01-2024 01:45,18,20
9,01-01-2024 02:00,11,11
10,01-01-2024 02:15,10,6
11,01-01-2024 02:30,19,17
12,01-01-2024 02:45,10,3
13,01-01-2024 03:00,18,20
14,01-01-2024 03:15,17,17
15,01-01-2024 03:30,20,17
16,01-01-2024 03:45,17,14
17,01-01-2024 04:00,15,10
18,01-01-2024 04:15,12,12
19,01-01-2024 04:30,14,7
20,01-01-2024 04:45,14,10
21,01-01-2024 05:00,12,10
22,01-01-2024 05:15,9,6
23,01-01-2024 05:30,17,10
24,01-01-2024 05:45,12,14
25,01-01-2024 06:00,21,20
26,01-01-2024 06:15,10,12
27,01-01-2024 06:30,14,6
28,01-01-2024 06:45,12,13
29,01-01-2024 07:00,13,7
30,01-01-2024 07:15,14,11
31,01-01-2024 07:30,11,11
32,01-01-2024 07:45,10,6
33,01-01-2024 08:00,57,57
34,01-01-2024 08:15,57,56
35,01-01-2024 08:30,50,49
36,01-01-2024 08:45,57,51
37,01-01-2024 09:00,55,48
38,01-01-2024 09:15,53,50
39,01-01-2024 09:30,50,53
40,01-01-2024 09:45,50,44
41,01-01-2024 10:00,55,50
42,01-01-2024 10:15,50,44
43,01-01-2024 10:30,56,56
44,01-01-2024 10:45,54,53
45,01-01-2024 11:00,58,55
46,01-01-2024 11:15,60,53
47,01-01-2024 11:30,50,51
48,01-01-2024 11:45,52,45
49,01-01-2024 12:00,86,82
50,01-01-2024 12:15,87,81
51,01-01-2024 12:30,83,82
52,01-01-2024 12:45,82,75
53,01-01-2024 13:00,87,84
54,01-01-2024 13:15,87,83
55,01-01-2024 13:30,80,76
56,01-01-2024 13:45,87,85
57,01-01-2024 14:00,88,85
58,01-01-2024 14:15,85,82
59,01-01-2024 14:30,84,81
60,01-01-2024 14:45,89,84
61,01-01-2024 15:00,89,85
62,01-01-2024 15:15,81,74
63,01-01-2024 15:30,88,83
64,01-01-2024 15:45,79,72
65,01-01-2024 16:00,79,75
66,01-01-2024 16:15,82,85
67,01-01-2024 16:30,87,83
68,01-01-2024 16:45,83,83
69,01-01-2024 17:00,81,75
70,01-01-2024 17:15,87,88
71,01-01-2024 17:30,90,91
72,01-01-2024 17:45,80,74
73,01-01-2024 18:00,44,39
74,01-01-2024 18:15,46,40
75,01-01-2024 18:30,45,47
76,01-01-2024 18:45,49,43
77,01-01-2024 19:00,50,50
78,01-01-2024 19:15,49,50
79,01-01-2024 19:30,44,41
80,01-01-2024 19:45,55,58
81,01-01-2024 20:00,54,57
82,01-01-2024 20:15,48,46
83,01-01-2024 20:30,51,46
84,01-01-2024 20:45,56,55
85,01-01-2024 21:00,15,8
86,01-01-2024 21:15,10,8
87,01-01-2024 21:30,12,6
88,01-01-2024 21:45,16,18
89,01-01-2024 22:00,16,15
90,01-01-2024 22:15,10,4
91,01-01-2024 22:30,20,19
92,01-01-2024 22:45,12,5
93,01-01-2024 23:00,15,10
94,01-01-2024 23:15,10,3
95,01-01-2024 23:30,14,11
96,01-01-2024 23:45,9,12
97,02-01-2024 00:00,15,12
98,02-01-2024 00:15,16,9
99,02-01-2024 00:30,12,15
100,02-01-2024 00:45,9,4
101,02-01-2024 01:00,11,11
102,02-01-2024 01:15,20,12
103,02-01-2024 01:30,10,3
104,02-01-2024 01:45,21,22
105,02-01-2024 02:00,9,2
106,02-01-2024 02:15,15,14
107,02-01-2024 02:30,18,18
108,02-01-2024 02:45,11,8
109,02-01-2024 03:00,16,15
110,02-01-2024 03:15,14,12
111,02-01-2024 03:30,17,15
112,02-01-2024 03:45,12,15
113,02-01-2024 04:00,9,10
114,02-01-2024 04:15,14,15
115,02-01-2024 04:30,13,14
116,02-01-2024 04:45,16,19
117,02-01-2024 05:00,10,7
118,02-01-2024 05:15,13,5
119,02-01-2024 05:30,17,15
120,02-01-2024 05:45,12,14
121,02-01-2024 06:00,20,22
122,02-01-2024 06:15,17,18
123,02-01-2024 06:30,10,4
124,02-01-2024 06:45,20,17
125,02-01-2024 07:00,10,10
126,02-01-2024 07:15,17,13
127,02-01-2024 07:30,15,16
128,02-01-2024 07:45,9,9
129,02-01-2024 08:00,51,53
130,02-01-2024 08:15,58,52
131,02-01-2024 08:30,56,49
132,02-01-2024 08:45,55,50
133,02-01-2024 09:00,56,56
134,02-01-2024 09:15,54,51
135,02-01-2024 09:30,51,51
136,02-01-2024 09:45,60,58
137,02-01-2024 10:00,61,56
138,02-01-2024 10:15,49,46
139,02-01-2024 10:30,58,55
140,02-01-2024 10:45,53,55
141,02-01-2024 11:00,57,58
142,02-01-2024 11:15,49,46
143,02-01-2024 11:30,56,53
144,02-01-2024 11:45,50,47
145,02-01-2024 12:00,80,77
146,02-01-2024 12:15,81,76
147,02-01-2024 12:30,83,84
148,02-01-2024 12:45,86,79
149,02-01-2024 13:00,87,85
150,02-01-2024 13:15,80,72
151,02-01-2024 13:30,83,85
152,02-01-2024 13:45,83,75
153,02-01-2024 14:00,90,91
154,02-01-2024 14:15,81,75
155,02-01-2024 14:30,84,80
156,02-01-2024 14:45,80,81
157,02-01-2024 15:00,82,82
158,02-01-2024 15:15,81,77
159,02-01-2024 15:30,79,78
160,02-01-2024 15:45,91,90
161,02-01-2024 16:00,79,75
162,02-01-2024 16:15,81,80
163,02-01-2024 16:30,86,85
164,02-01-2024 16:45,81,79
165,02-01-2024 17:00,82,83
166,02-01-2024 17:15,91,90
167,02-01-2024 17:30,82,84
168,02-01-2024 17:45,82,82
169,02-01-2024 18:00,44,45
170,02-01-2024 18:15,53,49
171,02-01-2024 18:30,45,48
172,02-01-2024 18:45,50,47
173,02-01-2024 19:00,48,48
174,02-01-2024 19:15,51,46
175,02-01-2024 19:30,55,54
176,02-01-2024 19:45,48,42
177,02-01-2024 20:00,55,54
178,02-01-2024 20:15,50,48
179,02-01-2024 20:30,47,40
180,02-01-2024 20:45,50,48
181,02-01-2024 21:00,19,22
182,02-01-2024 21:15,12,9
183,02-01-2024 21:30,14,16
184,02-01-2024 21:45,9,2
185,02-01-2024 22:00,10,10
186,02-01-2024 22:15,19,13
187,02-01-2024 22:30,13,14
188,02-01-2024 22:45,17,18
189,02-01-2024 23:00,19,16
190,02-01-2024 23:15,10,5
191,02-01-2024 23:30,11,6
192,02-01-2024 23:45,16,16
193,03-01-2024 00:00,9,8
194,03-01-2024 00:15,19,22
